,0
0,NORMAL
1,NORMAL
2,NORMAL
3,NORMAL
4,DME
5,NORMAL
6,DRUSEN
7,NORMAL
8,NORMAL
9,NORMAL
10,DRUSEN
11,DME
12,DME
13,CNV
14,NORMAL
15,NORMAL
16,CNV
17,CNV
18,DME
19,NORMAL
20,NORMAL
21,CNV
22,NORMAL
23,NORMAL
24,DRUSEN
25,CNV
26,CNV
27,CNV
28,CNV
29,CNV
30,DRUSEN
31,CNV
32,DME
33,DRUSEN
34,CNV
35,CNV
36,NORMAL
37,DRUSEN
38,DME
39,CNV
40,DRUSEN
41,DME
42,NORMAL
43,DRUSEN
44,CNV
45,NORMAL
46,CNV
47,DRUSEN
48,DME
49,DME
50,NORMAL
51,NORMAL
52,CNV
53,NORMAL
54,NORMAL
55,DRUSEN
56,NORMAL
57,NORMAL
58,CNV
59,NORMAL
60,NORMAL
61,NORMAL
62,CNV
63,CNV
64,DME
65,NORMAL
66,DRUSEN
67,NORMAL
68,NORMAL
69,CNV
70,NORMAL
71,NORMAL
72,CNV
73,CNV
74,CNV
75,NORMAL
76,CNV
77,DRUSEN
78,CNV
79,NORMAL
80,CNV
81,DRUSEN
82,DRUSEN
83,NORMAL
84,DRUSEN
85,CNV
86,NORMAL
87,DRUSEN
88,NORMAL
89,DRUSEN
90,DRUSEN
91,NORMAL
92,DRUSEN
93,NORMAL
94,NORMAL
95,NORMAL
96,NORMAL
97,NORMAL
98,NORMAL
99,NORMAL
100,NORMAL
101,DRUSEN
102,NORMAL
103,CNV
104,DRUSEN
105,NORMAL
106,NORMAL
107,NORMAL
108,NORMAL
109,NORMAL
110,NORMAL
111,NORMAL
112,CNV
113,DME
114,DME
115,NORMAL
116,NORMAL
117,DME
118,CNV
119,NORMAL
120,DRUSEN
121,DRUSEN
122,CNV
123,NORMAL
124,NORMAL
125,DME
126,CNV
127,NORMAL
128,CNV
129,CNV
130,CNV
131,DRUSEN
132,CNV
133,CNV
134,CNV
135,NORMAL
136,DRUSEN
137,CNV
138,NORMAL
139,CNV
140,NORMAL
141,NORMAL
142,DME
143,CNV
144,DME
145,DRUSEN
146,CNV
147,DME
148,CNV
149,NORMAL
150,NORMAL
151,NORMAL
152,DRUSEN
153,NORMAL
154,DRUSEN
155,DRUSEN
156,NORMAL
157,DRUSEN
158,CNV
159,CNV
160,NORMAL
161,CNV
162,DRUSEN
163,CNV
164,DRUSEN
165,DRUSEN
166,CNV
167,NORMAL
168,DRUSEN
169,DRUSEN
170,DME
171,DRUSEN
172,NORMAL
173,CNV
174,DRUSEN
175,NORMAL
176,NORMAL
177,NORMAL
178,DRUSEN
179,DRUSEN
180,NORMAL
181,CNV
182,DRUSEN
183,NORMAL
184,CNV
185,DRUSEN
186,NORMAL
187,NORMAL
188,CNV
189,DRUSEN
190,DRUSEN
191,NORMAL
192,DRUSEN
193,NORMAL
194,DRUSEN
195,DME
196,NORMAL
197,CNV
198,NORMAL
199,DRUSEN
200,CNV
201,NORMAL
202,NORMAL
203,DME
204,NORMAL
205,DRUSEN
206,NORMAL
207,DME
208,CNV
209,DRUSEN
210,CNV
211,CNV
212,NORMAL
213,DRUSEN
214,DRUSEN
215,NORMAL
216,NORMAL
217,DME
218,CNV
219,CNV
220,DRUSEN
221,CNV
222,CNV
223,DRUSEN
224,CNV
225,NORMAL
226,NORMAL
227,NORMAL
228,DRUSEN
229,DRUSEN
230,NORMAL
231,CNV
232,NORMAL
233,CNV
234,DRUSEN
235,DME
236,CNV
237,NORMAL
238,DRUSEN
239,DME
240,DRUSEN
241,DRUSEN
242,DRUSEN
243,NORMAL
244,DRUSEN
245,NORMAL
246,DRUSEN
247,NORMAL
248,DRUSEN
249,NORMAL
250,NORMAL
251,DRUSEN
252,NORMAL
